Date,pol_gol,pol_dell,pol_slvr,pol_slcn,pol_copper,pol_apple,Close_clopper,Close_gold,Close_Pall,Close_plat,applied_materials,taiwan_semiconductor,dell,hp,lenovo,arrow_electronics,avnet,synnex_corp,advanced_micro_divices,nvidia,qualcomn
7/23/19,-0.046409585,0.013016745,0,0.174930298,0.061926911,0.12176302,2.7,1421.7,1518.6,861.6,51.029999,44.419998,55.459999,21.629999,0.82,69.720001,44.619999,98.169998,33.490002,175.660004,74.120003
7/24/19,0.138217648,-0.011136364,0,0.200548685,0.087107901,0.094865049,2.712,1436.5,1538.5,881.1,52.139999,44.540001,56.220001,21.57,0.82,71.809998,45.84,100.349998,34.110001,178.660004,75.870003
7/25/19,0,0.152867965,0,0.078293704,0.032583057,0.103368163,2.7035,1427.5,1533.9,874,50.82,43.619999,55.07,21.33,0.82,71.150002,44.830002,99.230003,33.669998,173.380005,75.349998
7/26/19,0.117296614,-0.069419356,0,0.101285173,0,0.114136769,2.685,1432.2,1527.5,862.7,50.740002,43.459999,55.279999,21.52,0.82,71.709999,45.5,99.949997,34.02,175.070007,75.220001
7/27/19,,,,,,,,,,,50.740002,43.459999,55.279999,21.52,0.82,71.709999,45.5,99.949997,34.02,175.070007,75.220001
7/28/19,,,,,,,,,,,50.669998,43.939999,55.970001,21.5,0.82,71.839996,45.790001,100.239998,33.48,174.820007,74.970001
7/29/19,0.077868795,0.015800866,0,0,0,-0.018217893,2.7175,1433.3,1553.8,881.9,50.669998,43.939999,55.970001,21.5,0.82,71.839996,45.790001,100.239998,33.48,174.820007,74.970001
7/30/19,0.078233666,-0.020833333,0.126907517,0.137073326,0.022328283,0.032114096,2.6785,1441.8,1509.1,872.6,50.73,43.110001,57.23,21.540001,0.82,72.629997,45.720001,100.860001,33.869999,175.449997,74.809998
7/31/19,0,0,0,0,0,0,2.666,1437.8,1524.4,878.9,49.369999,42.630001,57.740002,21.040001,0.8,72.610001,45.419998,98.540001,30.450001,168.720001,73.160004
8/1/19,0.084170565,0,0.147510823,0.146472134,0.014612571,0.085924205,2.6655,1432.4,1414.3,851.3,48.470001,41.869999,57.689999,20.99,0.78,71.910004,44.790001,95.959999,29.860001,164.919998,71.199997
8/2/19,0,0,0.139509236,0.140579484,0.08470225,0.015412288,2.5715,1457.5,1404.2,853,47.549999,41.650002,52.41,20.139999,0.74,70.410004,43.419998,90.839996,29.440001,161.190002,71.150002
8/3/19,,,,,,,,,,,47.549999,41.650002,52.41,20.139999,0.74,70.410004,43.419998,90.839996,29.440001,161.190002,71.150002
8/4/19,,,,,,,,,,,45.459999,39.869999,50.419998,19.16,0.74,68.860001,41.189999,85.580002,27.99,150.789993,68.800003
8/5/19,0.029393939,-0.133333333,0,0,0.100358174,0.00560396,2.537,1464.6,1416.3,857.9,45.459999,39.869999,50.419998,19.16,0.74,68.860001,41.189999,85.580002,27.99,150.789993,68.800003
8/6/19,-0.033333333,0.139583333,-0.000804924,0.136575713,0.149525662,0.004588586,2.5575,1484.2,1437,853.2,46.330002,41.259998,50.77,19.25,0.74,67.849998,41.799999,84.900002,28.860001,152.350006,68.169998
8/7/19,0.04576461,0.030868737,0,0.076327254,0.073191935,-0.096527778,2.565,1507.3,1405.1,868.3,46.68,41.259998,50.380001,19.09,0.72,67.879997,41.790001,84.870003,29.190001,153.889999,69.400002
8/8/19,-0.021622532,0.067304346,0,0.109921202,0.068032342,0.12596284,2.6075,1509.5,1413.5,867.5,47.860001,41.900002,51.330002,19.530001,0.72,69.779999,42.91,86.410004,33.919998,158.259995,71.260002
8/9/19,0.069407647,0.058857132,0,0,0,0.058348917,2.589,1508.5,1419.3,863.8,47.150002,41.41,50.43,19.280001,0.72,68.739998,41.32,84.849998,34.189999,154.179993,71.5
8/10/19,,,,,,,,,,,47.150002,41.41,50.43,19.280001,0.72,68.739998,41.32,84.849998,34.189999,154.179993,71.5
8/11/19,,,,,,,,,,,46.459999,40.959999,49.509998,18.940001,0.72,67.910004,40.720001,83.150002,32.43,151.449997,69.800003
8/12/19,0.037732988,0.050606597,0,0.2202331,0,0.013782209,2.585,1517.2,1430.8,863.7,46.459999,40.959999,49.509998,18.940001,0.72,67.910004,40.720001,83.150002,32.43,151.449997,69.800003
8/13/19,0.072251624,0.027763605,0.09694496,0.090684997,0.092640693,0.07062752,2.63,1514.1,1451.5,859.7,48.060001,41.84,49.52,19.540001,0.76,69.120003,41.34,85.239998,32.110001,156.050003,72.18
8/14/19,0.068746992,0.000911465,0.224801587,0.045241477,0.052861111,0.067827248,2.592,1527.8,1416.4,848,46.709999,40.43,48.599998,19.280001,0.76,66.68,39.720001,80.690002,30.24,150.070007,70.879997
8/15/19,0,0,0,0,0,0,2.595,1531.2,1438.6,842,47.16,40.860001,46.900002,18.629999,0.7,66.040001,39.32,79.300003,29.67,148.770004,71.160004
8/16/19,0.102257752,0,0,0,0.076766831,0.043353175,2.595,1523.6,1441.3,851.5,46.630001,41.540001,48.43,19.08,0.72,68.019997,40.990002,82.93,31.18,159.559998,73.279999
8/17/19,,,,,,,,,,,46.630001,41.540001,48.43,19.08,0.72,68.019997,40.990002,82.93,31.18,159.559998,73.279999
8/18/19,,,,,,,,,,,47.099998,41.779999,49.049999,19.209999,0.72,68.489998,41.599998,85.059998,31.48,170.779999,74.870003
8/19/19,0.218180381,0,0.144040404,0,0.095844616,0.04125659,2.608,1511.6,1474.3,856.8,47.099998,41.779999,49.049999,19.209999,0.72,68.489998,41.599998,85.059998,31.48,170.779999,74.870003
8/20/19,0.044719547,0,0,0.137210197,0.076461324,0.126205516,2.584,1515.7,1489.7,852.8,46.73,41.939999,48.470001,18.91,0.72,67.760002,41.150002,84,30.719999,167.869995,76.07
8/21/19,0.164318039,-0.029861111,0,0,0.044094161,-0.039435466,2.592,1515.7,1465.5,858.1,46.830002,42.580002,48.98,18.959999,0.69,68.660004,41.799999,84.980003,31.700001,171.229996,76.699997
8/22/19,-0.040542328,0.039273823,0,0.198611111,0.105136104,0.129384416,2.5535,1497.3,1484,859.3,47.029999,42.130001,49.040001,18.93,0.68,68.889999,42.209999,86.309998,31.9,171.479996,77.150002
