Date,,Volume,Open,High,Low
1/11/17,,317695,1188.1,1198.5,1177
1/12/17,,260107,1191.1,1207.2,1190.7
1/13/17,,28224,1194.8,1204.3,1187.5
1/17/17,,368672,1202.8,1218.9,1198
1/18/17,,195234,1216.8,1217.7,1201.8
1/19/17,,241530,1203.1,1206.4,1195.4
1/20/17,,236066,1204.8,1214.8,1198.2
1/23/17,,231381,1209.3,1219.4,1209
1/24/17,,211945,1218,1220.1,1206.2
1/25/17,,80202,1211.5,1212.2,1195.3
1/26/17,,94439,1204.1,1205,1186.6
1/27/17,,142852,1191.4,1193.8,1182.6
1/30/17,,185344,1194.6,1201.3,1190
1/31/17,,237644,1197.7,1217.4,1195.6
2/1/17,,211357,1212.2,1215,1199.7
2/2/17,,220209,1211.2,1227.5,1210.2
2/3/17,,210726,1217.8,1223.2,1208.3
2/6/17,,190379,1221.9,1237.5,1220.8
2/7/17,,192661,1236.9,1237.5,1229.2
2/8/17,,216044,1235.2,1246.6,1231.3
2/9/17,,234244,1242.7,1246.2,1226.1
2/10/17,,229161,1229.6,1238.9,1222.6
2/13/17,,168285,1234.2,1234.4,1220.3
2/14/17,,223687,1226.1,1236,1222.7
2/15/17,,220585,1228.6,1234.9,1217.5
2/16/17,,196467,1234.3,1243.7,1233.3
2/17/17,,20247,1240.8,1245.1,1232.4
2/21/17,,245695,1239.3,1240.2,1226.8
2/22/17,,193431,1236.9,1241.9,1231.5
2/23/17,,250277,1238.3,1252.2,1236.4
2/24/17,,209660,1250.6,1261.2,1248.8
2/27/17,,201486,1258.9,1264.9,1251.5
2/28/17,,225369,1253.3,1259.3,1248.2
3/1/17,,300815,1248.5,1251.4,1237.2
3/2/17,,262903,1249.9,1250.8,1231.1
3/3/17,,268970,1234.8,1236.7,1223
3/6/17,,154275,1233.9,1237.3,1225
3/7/17,,195645,1225.7,1227.4,1214.1
3/8/17,,200792,1215.6,1218.5,1206.4
3/9/17,,226026,1207.7,1208.9,1199
3/10/17,,250514,1200.2,1206.2,1194.5
3/13/17,,168436,1205,1210.9,1202
3/14/17,,176653,1203.5,1207.5,1196.9
3/15/17,,256440,1198.7,1222,1196.8
3/16/17,,243137,1219.5,1234,1218.1
3/17/17,,146933,1226.2,1231.5,1224
3/20/17,,122559,1229,1235.5,1228.8
3/21/17,,278090,1234.2,1247.7,1226.6
3/22/17,,210181,1244.5,1251.5,1243.8
3/23/17,,38955,1251.5,1256.4,1245.6
3/24/17,,50728,1248.2,1255,1243.7
3/27/17,,70055,1247.2,1264.2,1247.2
3/28/17,,110672,1257.1,1261.4,1250.5
3/29/17,,157858,1253,1257.5,1250
3/30/17,,211199,1256.1,1256.5,1244.2
3/31/17,,158381,1244.6,1252.8,1241.5
4/3/17,,135738,1251.9,1255.9,1246.4
4/4/17,,152043,1255.5,1263.7,1255.5
4/5/17,,226454,1258.2,1259.3,1245.4
4/6/17,,160510,1257.6,1260.9,1251.3
4/7/17,,365404,1253.9,1273.3,1252.4
4/10/17,,176084,1255.6,1258.9,1248.2
4/11/17,,279421,1256.8,1277.4,1254.7
4/12/17,,241437,1277.2,1289,1273.8
4/13/17,,229082,1288.3,1290.7,1283.8
4/17/17,,189444,1292.4,1297.4,1283.1
4/18/17,,272618,1286.7,1294.4,1280.6
4/19/17,,251024,1291.7,1292.7,1275.4
4/20/17,,237678,1282.2,1285.2,1278
4/21/17,,220990,1283.3,1290.1,1280
4/24/17,,287252,1280,1280,1266
4/25/17,,242791,1277.9,1279.9,1262.8
4/26/17,,233964,1265.5,1272.8,1260.7
4/27/17,,203162,1270.2,1271.1,1261.8
4/28/17,,166210,1265.2,1269.9,1264.2
5/1/17,,197023,1269.6,1272.4,1254.9
