Date,Open,High,Low,Close,Adj Close,Volume
2019-12-06,79300.000000,80800.000000,79100.000000,80600.000000,80600.000000,3054204
2019-12-09,81300.000000,81800.000000,80700.000000,80700.000000,80700.000000,2290088
2019-12-10,79800.000000,80900.000000,79400.000000,80700.000000,80700.000000,1831960
2019-12-11,80700.000000,81000.000000,80100.000000,80600.000000,80600.000000,2009331
2019-12-12,82000.000000,83500.000000,82000.000000,83400.000000,83400.000000,5247299
2019-12-13,87200.000000,88200.000000,85800.000000,87900.000000,87900.000000,5831965
2019-12-16,87200.000000,89400.000000,87000.000000,88600.000000,88600.000000,2652685
2019-12-17,91000.000000,93800.000000,90200.000000,92800.000000,92800.000000,5070618
2019-12-18,93400.000000,94500.000000,91800.000000,93000.000000,93000.000000,3434310
2019-12-19,95400.000000,96400.000000,93400.000000,93600.000000,93600.000000,4938375
2019-12-20,94100.000000,95100.000000,93700.000000,95000.000000,95000.000000,2791176
